,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Economies and Consumers Annual Data | Historical,,,,,,,,,,,
Geography,Category,Data Type,Unit,Currency Conversion,Current Constant,2018,2019,2020,2021,2022,2023
World,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"1,683,198.3","1,650,015.1","1,577,517.0","1,842,852.3","1,887,918.0","1,998,352.2"
Asia Pacific,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"413,232.8","403,221.7","402,997.1","435,212.9","428,665.2","445,124.8"
Azerbaijan,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,629.8,705.4,693.3,759.5,918.0,"1,049.6"
Azerbaijan,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,124.4,124.0,123.8,130.4,138.8,146.2
Bangladesh,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"1,573.1","1,698.0","1,844.6","2,116.2","2,202.3","2,195.3"
Bangladesh,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,182.4,196.3,207.9,239.3,269.2,289.6
Cambodia,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,505.0,566.1,480.5,395.7,814.2,"1,043.1"
Cambodia,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,85.4,84.6,81.3,81.7,85.5,86.7
China,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"178,367.0","179,355.4","188,413.4","221,989.7","216,637.5","221,232.7"
China,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,91.9,91.1,91.2,89.7,90.6,90.7
"Hong Kong, China","Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"1,860.8","1,848.8","1,323.9","1,380.9","1,392.1","1,644.2"
"Hong Kong, China","Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,118.2,117.1,120.1,124.8,129.5,133.6
India,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"25,251.7","23,085.9","22,213.7","25,512.0","27,249.1","28,240.1"
India,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,114.3,118.7,125.6,129.2,127.0,127.1
Indonesia,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"29,773.0","32,228.5","28,425.5","30,412.4","33,084.8","35,275.9"
Indonesia,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,147.1,148.6,149.6,150.9,159.6,165.8
Japan,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"72,553.5","68,287.3","70,588.5","58,372.2","50,017.4","51,172.7"
Japan,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,110.8,112.3,112.3,115.9,118.5,119.9
Kazakhstan,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"1,541.1","1,568.6","1,381.1","1,529.8","1,717.0","2,168.4"
Kazakhstan,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,175.2,191.9,200.0,218.1,251.8,283.1
Laos,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,345.8,348.0,351.5,322.9,278.9,278.2
Laos,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,127.0,130.3,133.7,142.6,208.1,263.6
Malaysia,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"2,964.5","3,048.3","2,280.6","2,283.5","2,791.1","2,971.9"
Malaysia,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,98.7,97.7,96.4,92.5,92.2,91.2
Myanmar,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,821.3,816.2,969.2,867.1,798.6,880.8
Myanmar,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,148.3,154.6,147.0,174.3,247.3,269.2
Pakistan,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"2,270.0","2,416.8","1,664.6","2,176.0","2,277.0","2,159.9"
Pakistan,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,157.1,183.9,205.0,229.0,281.9,333.9
Philippines,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"4,774.9","5,271.7","4,090.1","4,590.8","5,234.0","5,953.3"
Philippines,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,120.8,123.4,132.5,133.2,136.7,138.3
Singapore,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"5,828.3","5,632.6","3,460.7","4,305.9","4,795.7","5,704.2"
Singapore,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,109.4,105.6,105.8,115.8,137.5,137.8
South Korea,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"43,156.0","33,942.0","34,690.4","37,572.9","37,490.0","37,607.6"
South Korea,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,100.4,99.2,100.3,102.0,105.6,106.5
Sri Lanka,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"4,401.2","4,673.6","4,272.2","4,603.6","4,152.6","4,853.1"
Sri Lanka,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,220.5,238.7,269.1,295.8,466.5,630.9
Taiwan,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"12,823.7","12,455.5","12,666.0","12,980.8","12,575.7","14,028.4"
Taiwan,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,93.2,92.2,84.5,89.9,93.1,95.5
Thailand,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"12,176.3","12,963.2","11,137.6","10,308.7","10,216.5","11,291.8"
Thailand,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,106.1,106.1,105.8,105.5,106.2,106.3
Turkmenistan,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,61.3,66.2,67.7,82.7,100.0,115.8
Turkmenistan,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,178.2,202.0,220.5,250.9,290.6,328.4
Uzbekistan,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,525.9,579.7,461.5,639.9,750.8,804.3
Uzbekistan,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,382.0,419.0,470.0,496.5,524.0,549.4
Vietnam,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"6,677.7","7,364.3","7,330.7","7,748.6","8,513.9","9,008.0"
Vietnam,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,127.6,126.3,127.3,130.5,134.0,137.2
Australasia,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"24,314.6","21,976.7","20,466.9","27,735.9","29,326.8","28,678.4"
Australia,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"17,501.4","15,925.9","15,241.9","21,367.5","22,828.3","21,863.5"
Australia,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,94.8,97.7,99.5,105.2,110.9,113.4
New Zealand,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"6,813.2","6,050.8","5,225.0","6,368.4","6,498.5","6,814.9"
New Zealand,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,97.2,96.0,95.9,102.1,109.1,110.3
Eastern Europe,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"72,802.4","74,068.7","74,403.6","82,902.6","90,937.3","91,819.9"
Belarus,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"1,232.2","1,384.7","1,187.2","1,471.8","1,621.2","1,524.1"
Belarus,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,495.5,516.5,570.6,658.6,913.0,979.1
Bosnia and Herzegovina,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,197.9,193.7,112.6,154.7,175.5,218.0
Bosnia and Herzegovina,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,101.7,103.0,102.7,104.7,110.2,111.0
Bulgaria,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,727.3,795.3,666.1,826.5,943.9,"1,115.6"
Bulgaria,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,105.5,95.7,88.3,88.6,90.8,91.2
Croatia,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"1,031.3","1,032.0",571.1,745.1,871.8,"1,166.6"
Croatia,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,84.0,82.7,80.8,81.0,88.9,88.5
Czech Republic,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"4,985.7","4,699.9","4,410.8","4,960.3","5,205.7","5,859.8"
Czech Republic,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,100.4,101.2,106.3,114.3,122.0,131.7
Estonia,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,362.0,359.7,285.3,362.4,363.8,373.7
Estonia,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,99.4,98.8,98.9,106.6,122.5,126.0
Georgia,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,346.2,358.0,375.1,448.3,602.2,740.0
Georgia,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,96.0,95.3,95.3,100.5,109.9,113.6
Hungary,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"2,396.3","2,620.9","2,489.5","2,636.1","2,825.6","3,527.7"
Hungary,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,99.2,99.0,100.8,105.3,120.1,122.3
Latvia,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,513.6,482.6,455.8,538.2,578.0,648.6
Latvia,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,96.6,96.2,96.1,104.2,112.5,117.9
Lithuania,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"1,088.1","1,127.9","1,131.7","1,452.1","1,545.9","1,720.7"
Lithuania,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,88.1,87.7,87.8,88.2,98.5,115.7
North Macedonia,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,206.6,217.0,225.6,239.9,229.4,276.0
North Macedonia,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,107.3,113.2,117.1,120.6,138.2,146.5
Poland,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"17,853.6","16,613.9","14,907.5","18,280.2","18,545.3","21,799.4"
Poland,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,92.1,90.2,86.7,91.9,99.7,103.8
Romania,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"4,691.8","4,699.2","4,610.0","5,765.9","5,700.9","6,397.2"
Romania,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,109.7,112.9,115.8,119.3,123.8,127.0
Russia,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"31,126.4","32,986.8","37,312.3","37,837.3","45,410.5","39,660.4"
Russia,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,148.5,153.7,165.8,188.5,232.3,249.8
Serbia,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,813.9,864.1,753.3,942.5,818.4,937.1
Serbia,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,120.6,117.8,114.6,126.0,153.1,159.9
Slovakia,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"1,007.4",963.2,664.7,826.9,682.4,787.2
Slovakia,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,76.1,75.0,73.7,74.1,76.2,80.6
Slovenia,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"1,423.8","1,536.3","1,175.8","1,880.7","1,723.5","1,917.2"
Slovenia,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,79.6,78.5,77.6,85.9,94.4,94.7
Ukraine,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"1,666.8","1,992.1","1,859.0","2,184.1","1,674.2","1,538.7"
Ukraine,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,274.3,300.3,299.4,316.5,374.6,450.0
Latin America,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"142,574.4","135,824.3","100,903.0","118,184.0","140,403.0","163,397.0"
Argentina,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"10,568.2","8,508.9","7,039.4","8,389.8","11,241.4","10,716.6"
Argentina,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,754.5,"1,183.6","1,902.5","3,080.2","5,608.5","10,866.2"
Bolivia,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,293.6,303.7,256.1,292.3,314.3,329.6
Bolivia,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,107.8,109.2,110.4,112.9,115.8,117.8
Brazil,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"50,984.5","48,841.8","35,161.0","38,742.6","47,908.7","52,751.6"
Brazil,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,111.3,112.3,115.1,131.1,142.8,148.6
Chile,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"7,970.4","7,340.8","5,070.9","7,649.2","7,880.9","9,164.0"
Chile,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,104.8,105.0,113.5,124.9,149.4,145.4
Colombia,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"4,424.9","4,201.5","2,556.2","3,452.6","3,584.6","4,040.6"
Colombia,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,110.1,108.9,104.7,112.6,129.1,135.8
Costa Rica,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"1,004.1",904.1,728.3,767.0,857.2,"1,115.2"
Costa Rica,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,127.5,131.3,133.3,142.1,150.7,153.9
Dominican Republic,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"4,445.7","4,563.4","4,053.7","4,780.8","5,787.5","6,089.5"
Dominican Republic,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,116.7,116.9,120.6,129.6,140.6,147.6
Ecuador,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"3,939.0","3,811.6","2,392.3","2,939.5","3,299.7","3,607.3"
Ecuador,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,108.9,106.0,103.4,102.7,104.5,105.4
El Salvador,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,856.2,869.8,852.0,"1,014.6","1,110.7","1,139.2"
El Salvador,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,113.0,112.5,113.7,112.9,113.7,113.5
Guatemala,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,856.2,886.2,734.0,976.1,"1,136.0","1,233.3"
Guatemala,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,112.6,114.7,116.0,137.0,152.9,153.9
Honduras,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,528.7,570.3,617.8,735.7,784.4,823.1
Honduras,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,151.8,159.2,167.7,175.4,190.8,200.6
Mexico,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"40,606.6","39,574.3","28,545.4","33,941.2","39,335.9","53,085.5"
Mexico,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,150.9,153.4,164.9,182.1,197.5,212.8
Panama,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"2,306.9","2,433.3","1,853.8","2,128.9","2,459.9","2,705.8"
Panama,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,124.5,123.5,124.5,127.1,128.7,128.7
Paraguay,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,756.5,734.6,675.3,755.9,843.7,881.4
Paraguay,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,140.3,143.7,146.0,152.0,166.7,173.7
Peru,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"1,777.4","1,829.5","1,547.0","1,663.4","1,921.0","2,115.7"
Peru,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,134.9,139.0,142.4,148.2,160.2,167.5
Uruguay,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,630.6,592.6,496.0,534.4,648.3,747.2
Uruguay,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,142.6,178.7,192.9,205.4,227.6,252.1
Venezuela,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"1,249.5",574.5,565.7,726.2,"1,163.5","1,299.9"
Venezuela,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,"1,348,660.0","1,959,029,471.0","38,711,253,070.0","841,000,000,000.0","4,390,000,000,000.0","24,353,400,000,000.0"
Middle East and Africa,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"98,469.0","100,693.2","88,754.0","101,990.9","111,970.1","115,969.7"
Algeria,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"4,449.7","4,516.6","4,129.5","4,390.0","4,704.1","5,351.3"
Algeria,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,150.1,149.9,154.7,160.9,175.9,189.4
Angola,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,403.7,291.7,242.8,274.9,471.4,343.5
Angola,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,357.1,418.8,536.7,672.5,770.3,848.5
