Economies and Consumers Annual Data | Historical,,,,,,,,,,,
Geography,Category,Data Type,Unit,Currency Conversion,Current Constant,2018,2019,2020,2021,2022,2023
Azerbaijan,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,629.8,705.4,693.3,759.5,918,"1,049.60"
Azerbaijan,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,124.4,124,123.8,130.4,138.8,146.2
Bangladesh,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"1,573.10","1,698.00","1,844.60","2,116.20","2,202.30","2,195.30"
Bangladesh,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,182.4,196.3,207.9,239.3,269.2,289.6
Cambodia,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,505,566.1,480.5,395.7,814.2,"1,043.10"
Cambodia,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,85.4,84.6,81.3,81.7,85.5,86.7
China,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"178,367.00","179,355.40","188,413.40","221,989.70","216,637.50","221,232.70"
China,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,91.9,91.1,91.2,89.7,90.6,90.7
"Hong Kong, China","Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"1,860.80","1,848.80","1,323.90","1,380.90","1,392.10","1,644.20"
"Hong Kong, China","Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,118.2,117.1,120.1,124.8,129.5,133.6
India,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"25,251.70","23,085.90","22,213.70","25,512.00","27,249.10","28,240.10"
India,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,114.3,118.7,125.6,129.2,127,127.1
Indonesia,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"29,773.00","32,228.50","28,425.50","30,412.40","33,084.80","35,275.90"
Indonesia,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,147.1,148.6,149.6,150.9,159.6,165.8
Japan,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"72,553.50","68,287.30","70,588.50","58,372.20","50,017.40","51,172.70"
Japan,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,110.8,112.3,112.3,115.9,118.5,119.9
Kazakhstan,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"1,541.10","1,568.60","1,381.10","1,529.80","1,717.00","2,168.40"
Kazakhstan,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,175.2,191.9,200,218.1,251.8,283.1
Laos,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,345.8,348,351.5,322.9,278.9,278.2
Laos,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,127,130.3,133.7,142.6,208.1,263.6
Malaysia,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"2,964.50","3,048.30","2,280.60","2,283.50","2,791.10","2,971.90"
Malaysia,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,98.7,97.7,96.4,92.5,92.2,91.2
Myanmar,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,821.3,816.2,969.2,867.1,798.6,880.8
Myanmar,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,148.3,154.6,147,174.3,247.3,269.2
Pakistan,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"2,270.00","2,416.80","1,664.60","2,176.00","2,277.00","2,159.90"
Pakistan,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,157.1,183.9,205,229,281.9,333.9
Philippines,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"4,774.90","5,271.70","4,090.10","4,590.80","5,234.00","5,953.30"
Philippines,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,120.8,123.4,132.5,133.2,136.7,138.3
Singapore,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"5,828.30","5,632.60","3,460.70","4,305.90","4,795.70","5,704.20"
Singapore,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,109.4,105.6,105.8,115.8,137.5,137.8
South Korea,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"43,156.00","33,942.00","34,690.40","37,572.90","37,490.00","37,607.60"
South Korea,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,100.4,99.2,100.3,102,105.6,106.5
Sri Lanka,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"4,401.20","4,673.60","4,272.20","4,603.60","4,152.60","4,853.10"
Sri Lanka,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,220.5,238.7,269.1,295.8,466.5,630.9
Taiwan,"Consumer Expenditure on Purchase of Cars, Motorcycles and Other Vehicles",Socio-economic indicators,USD million,y-o-y ex rates,Current Prices,"12,823.70","12,455.50","12,666.00","12,980.80","12,575.70","14,028.40"
Taiwan,"Index of Purchase of Cars, Motorcycles and Other Vehicles Prices",Socio-economic indicators,2010 = 100,Volume,-,93.2,92.2,84.5,89.9,93.1,95.5
